case,statistic,standard
level_1,change_364,-9.00
level_1,change_364_upper_CL,-12.19
level_1,change_410,-10.14
level_1,change_410_upper_CL,-13.73
level_2,change_364,-12.68
level_2,change_364_upper_CL,-14.66
level_2,change_410,-14.28
level_2,change_410_upper_CL,-16.52
level_3,change_364,-7.58
level_3,change_364_upper_CL,-8.05
level_3,change_410,-8.54
level_3,change_410_upper_CL,-9.07
