Temperature,Day,Result
40,0,1.019
40,10,0.956
40,21,0.945
40,31,0.933
40,42,0.908
40,52,0.860
40,62,0.858
40,73,0.818
40,83,0.807
40,93,0.776
45,0,1.008
45,6,0.982
45,13,0.930
45,19,0.916
45,25,0.907
45,32,0.868
45,38,0.867
45,45,0.823
45,51,0.782
45,57,0.778
50,0,1.008
50,4,0.958
50,8,0.956
50,12,0.917
50,16,0.897
50,20,0.852
50,24,0.853
50,28,0.811
50,32,0.812
50,36,0.774
55,0,1.000
55,2,0.993
55,5,0.941
55,7,0.904
55,10,0.881
55,12,0.866
55,15,0.852
55,17,0.828
55,20,0.802
55,22,0.776
