"replicate","result","assigned","expanded_uncertainty","unit"
1,108.02,108.1,2,"umol/L"
2,106.99,108.1,2,"umol/L"
3,107.22,108.1,2,"umol/L"
4,108.27,108.1,2,"umol/L"
5,108.12,108.1,2,"umol/L"
