Sample,Con,RLU
c1,0,1185
c2,5,3415
c3,10,5230
c4,20,9810
c5,40,18080
c6,60,26290
c7,80,34940
c8,100,42980
c9,120,52070
c10,140,59620
c11,160,68950
c12,180,75890
