sample,c95_ct,c50_ct,c5_ct
1,36.2,37.5,0
2,31.8,0,0
3,35.7,37.0,0
4,34.0,37.9,0
5,36.6,38.2,0
6,34.9,36.9,0
7,0,38.3,0
8,35.1,0,0
9,0,38.8,0
10,32.3,0,0
11,34.2,0,0
12,34.6,38.5,0
13,36.4,36.2,0
14,34.9,37.7,0
15,34.6,37.8,0
16,36.8,0,0
17,34.5,0,0
18,38.8,0,0
19,37.8,38.4,0
20,37.9,0,0
