Sample,Con,RLU
c1,0.00,5637
c2,0.05,16014
c3,0.20,47520
c4,0.51,125038
c5,1.03,277621
c6,5.19,1498023
c7,10.92,3334387
c8,20.83,6148959
c9,49.90,16515788
c10,95.47,28504677
c11,112.18,35017203
