"replicate","level","measured","expected"
1,1,0.82,0.81
1,2,1.17,1.20666666666667
1,3,1.53,1.60333333333333
1,4,1.96,2
1,5,2.41,2.39666666666667
2,1,0.8,0.81
2,2,1.16,1.20666666666667
2,3,1.54,1.60333333333333
2,4,1.97,2
2,5,2.41,2.39666666666667
3,1,0.81,0.81
3,2,1.13,1.20666666666667
3,3,1.57,1.60333333333333
3,4,1.94,2
3,5,2.37,2.39666666666667
