"sample","true_value","measured_mean","sd","n","unit"
1,960.0,960.24,5.83,10,"IU/mL"
2,842.8,851.32,12.77,10,"IU/mL"
3,725.5,732.75,13.28,10,"IU/mL"
4,608.3,610.86,10.38,10,"IU/mL"
5,491.0,500.72,8.24,10,"IU/mL"
6,373.8,376.96,6.77,10,"IU/mL"
7,256.5,256.58,4.78,10,"IU/mL"
8,139.3,141.65,3.42,10,"IU/mL"
9,22.0,22.48,2.05,10,"IU/mL"
