conc,replicate,signal
75,1,75
75,2,75
75,3,74.4
483.75,1,454.1
483.75,2,455.3
483.75,3,456
892.5,1,870.7
892.5,2,870.5
892.5,3,856.7
1301.25,1,1354.1
1301.25,2,1305.3
1301.25,3,1326
1710,1,1705.4
1710,2,1719.8
1710,3,1706.1
