level,month,on_test,reference
low,0,1.008,1.001
low,1,0.999,1.005
low,2,0.992,1.007
low,4,0.983,1.005
low,5,0.985,1.011
low,6,0.97,1.002
low,6.5,0.967,1.004
high,0,4.21,4.208
high,1,4.222,4.209
high,2,4.197,4.197
high,4,4.19,4.202
high,5,4.117,4.211
high,6,4.188,4.223
high,6.5,4.007,4.205
