level,replicate,result,assigned,reference_uncertainty
L1,1,193.2,197.6,2.5
L1,2,192.9,197.6,2.5
L1,3,192.1,197.6,2.5
L1,4,191.6,197.6,2.5
L1,5,192.4,197.6,2.5
L1,6,191.9,197.6,2.5
L2,1,149.7,152.4,1.9
L2,2,149.5,152.4,1.9
L2,3,150.0,152.4,1.9
L2,4,150.2,152.4,1.9
L2,5,149.3,152.4,1.9
L2,6,150.1,152.4,1.9
L3,1,120.1,122.1,1.6
L3,2,118.9,122.1,1.6
L3,3,119.2,122.1,1.6
L3,4,119.5,122.1,1.6
L3,5,119.8,122.1,1.6
L3,6,119.5,122.1,1.6
