"method_x","method_y","classification"
"MA","MB",0
"MA","MC",1
"MA","MD",0
"MA","ME",1
"MA","MF",1
"MA","MG",1
"MA","MH",0
"MA","MJ",0
"MB","MC",0
"MB","MD",0
"MB","ME",0
"MB","MF",0
"MB","MG",-1
"MB","MH",0
"MB","MJ",0
"MC","MD",0
"MC","ME",1
"MC","MF",1
"MC","MG",1
"MC","MH",0
"MC","MJ",0
"MD","ME",0
"MD","MF",0
"MD","MG",0
"MD","MH",1
"MD","MJ",1
"ME","MF",1
"ME","MG",1
"ME","MH",0
"ME","MJ",0
"MF","MG",1
"MF","MH",0
"MF","MJ",0
"MG","MH",0
"MG","MJ",0
"MH","MJ",1
